Nombre,Password,Genero,Edad,Email
Axel,12345,0,23,axelcem@outlook.com
Juan,454345,0,34,juanLM@outlook.com
Jose,543sdfwe,0,42,JoseMD@hotmail.com
Carlos,gofditerjt,0,15,Carlos@gmail.com
Brian,jidfgji,0,27,Brian@hotmail.com
Brayan,ogjdfojg,0,26,Brayan@gmail.com
Absalon,gofdjgojdf,0,53,abs@gmail.com
Bruno,jojos,0,19,BrunoAM@hotmail.com
Kumary,25858,1,19,kumis@gmail.com
Juan,19755,0,19,juandela@gmail.com
Alexander,85258,0,25,alex@gmail.com
Andrea,369987,1,18,andy12@gmail.com
Angel,14785,0,23,angelM@gmail.com
Anna,159753,1,25,anna@gmail.com
Angelica,15986,1,25,angieb@gmail.com
Alondra,53628,1,23,aloayala@gmail.com
